neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۴ روز پیش در تهران، سیدخندان,115,1399,4,۱۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۱ روز پیش در تهران، دانشگاه علم و صنعت، خ یکم شرقی,113,1402,6,۵۰۸٬۰۰۰٬۰۰۰ تومان,2,1,1,
۵ روز پیش در تهران، گیشا (کوی نصر),198,1403,4,۳۶٬۷۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۵ روز پیش در تهران، آذری,107,1402,3,۴۹۵٬۰۰۰٬۰۰۰ تومان,2,1,1,
۱ روز پیش در تهران، ستارخان,105,1402,4,۴۹۷٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۱ روز پیش در تهران، تسلیحات,100,1402,2,۵۰۵٬۰۰۰٬۰۰۰ تومان,2,آسانسور,پارکینگ,
۵ روز پیش در تهران، شهرک طالقانی,250,1396,0,۲۸٬۰۰۰٬۰۰۰ تومان,2,پارکینگ,انباری,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۱ روز پیش در تهران، اتابک,110,1403,3,۵۰۰٬۰۰۰٬۰۰۰ تومان,2,آسانسور,پارکینگ,
۱ روز پیش در تهران، دولت‌آباد,0,0,3,۴۹۰٬۰۰۰٬۰۰۰ تومان,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
,0,0,0,,0,,,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۶ روز پیش در تهران، یافت‌آباد,165,1403,0,۵۹۴٬۰۰۰٬۰۰۰ تومان,1,0,1,
۳ روز پیش در تهران، تهرانپارس شرقی,90,1403,0,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,2,0,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۶ روز پیش در تهران، ابوذر (منطقه ۱۵),0,0,2,۴۹۶٬۰۰۰٬۰۰۰ تومان,0,1,1,
۶ روز پیش در تهران، یافت‌آباد,165,1403,0,۵۹۴٬۰۰۰٬۰۰۰ تومان,1,0,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۱ روز پیش در تهران، شهر زیبا,35,1397,2,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
لحظاتی پیش در تهران، کامرانیه,196,1386,9,۴۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، مرزداران,185,1395,5,۳۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
یک ربع پیش در تهران، ولنجک,92,1390,3,۲۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، چیتگر,55,1403,6,۷۱۵٬۰۰۰٬۰۰۰ تومان,1,1,1,
یک ربع پیش در تهران، الهیه,257,1380,4,۶۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
لحظاتی پیش در تهران، کوهک,145,1401,1,۱۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، مسعودیه,144,1397,4,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، علی‌آباد,80,1395,5,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، سعادت‌آباد,0,0,3,۱۲۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,0,1,1,
دقایقی پیش در تهران، کامرانیه,196,1386,9,۴۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، شوش,86,1393,3,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، ظهیرآباد,67,1395,3,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,1,1,0,
دقایقی پیش در تهران، محمودیه,240,1396,8,۸۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
یک ربع پیش در تهران، شهرک غرب,115,1380,7,۳۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، الهیه,340,1389,5,۹۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
یک ربع پیش در تهران، فرمانیه,177,1388,3,۴۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
یک ربع پیش در تهران، ولنجک,92,1390,3,۲۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، چیتگر,55,1403,6,۷۱۵٬۰۰۰٬۰۰۰ تومان,1,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
